firm_id,city,district,product,owner,contact_authorized_at,contacted_at,replied_at,product_verified_at,claimed_at,listing_id,listing_is_real,listing_active_until,demand_response_at,meeting_verified_at,evidence_ref,status
272,antalya,demre,domates,,,,,,,,,,,,,candidate_unverified
265,antalya,demre,domates,,,,,,,,,,,,,candidate_unverified
266,antalya,demre,domates,,,,,,,,,,,,,candidate_unverified
273,antalya,demre,domates,,,,,,,,,,,,,candidate_unverified
270,antalya,demre,domates,,,,,,,,,,,,,candidate_unverified
269,antalya,demre,domates,,,,,,,,,,,,,candidate_unverified
268,antalya,demre,domates,,,,,,,,,,,,,candidate_unverified
274,antalya,demre,domates,,,,,,,,,,,,,candidate_unverified
271,antalya,demre,domates,,,,,,,,,,,,,candidate_unverified
267,antalya,demre,domates,,,,,,,,,,,,,candidate_unverified
