url,baseline_eligible,current_eligible,inspection_at,index_verdict,canonical_match,last_crawl,query_group,position_band,device,country,clicks_before,impressions_before,clicks_after,impressions_after,missing_data_reason
https://haldefiyat.com/fiyat/ankara/cilek,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/ankara/elma,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/ankara/erik,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/ankara/fasulye,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/ankara/karpuz,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/ankara/kayisi,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/ankara/limon,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/ankara/mantar-kultur,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/ankara/muz-yerli,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/ankara/patates,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/ankara/patlican,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/ankara/salatalik,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/ankara/sarimsak-kuru,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/ankara/seftali,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/ankara/sogan-kuru,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/antalya/domates,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/antalya/fasulye,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/antalya/muz-yerli,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/antalya/patlican,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/antalya/salatalik,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/bursa/ahududu,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/bursa/bogurtlen,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/bursa/cilek,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/bursa/domates,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/bursa/domates-salcalik,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/bursa/elma,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/bursa/erik,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/bursa/fasulye,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/bursa/karpuz,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/bursa/kavun,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/bursa/kekik,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/bursa/kiraz,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/bursa/mandalina,1,,,,,,,,,,,,,,
https://haldefiyat.com/fiyat/bursa/muz-yerli,1,,,,,,,,,,,,,,
